id,seed,target,model,rmse,r2,custom_str
280,b'\x9d\xfd\x00\x00',Fluency,LightGBM,0.1035086296242964,0.7792439768243902,
281,b'\x9d\xfd\x00\x00',Originality,LinearModel,0.1760594941328652,0.34132007799080244,
282,b'\x9d\xfd\x00\x00',Originality,CatBoost,0.1792273320946711,0.3174035799091036,
283,b'\x9d\xfd\x00\x00',Originality,WeightedEnsemble_L2,0.18029678782082248,0.30923312254527446,
284,b'\x9d\xfd\x00\x00',Originality,LightGBM,0.18436620802637896,0.27769907204972033,
285,b'\x9d\xfd\x00\x00',Flexibility,WeightedEnsemble_L2,0.11603827768022913,0.6971893293745945,
286,b'\x9d\xfd\x00\x00',Flexibility,LinearModel,0.11707829204780491,0.6917370122260489,
287,b'\x9d\xfd\x00\x00',Flexibility,CatBoost,0.12021872348197947,0.6749779305003583,
288,b'\x9d\xfd\x00\x00',Flexibility,LightGBM,0.12289422385671084,0.6603500389637574,
289,b'\x81\t\x01\x00',Total Score,WeightedEnsemble_L2,0.11153316562743013,0.6958968429606691,
